name,rating,review_count,is_closed,price,city,categories,price_clean
Yuk Dae Jang,4.5,394,False,$$,San Diego,Korean,$$
Homestyle Hawaiian,3.9,2269,False,$$,San Diego,"Hawaiian, Salad, Seafood",$$
Leila,4.0,907,False,$$$$,San Diego,"Middle Eastern, Cocktail Bars, Halal",$$$$
Trust,4.3,1579,False,$$,San Diego,"New American, Breakfast & Brunch",$$
Island Prime,4.3,2859,False,$$$,San Diego,"Seafood, Steakhouses, American",$$$
Cucina Urbana,4.4,4870,False,$$$,San Diego,"Italian, Pizza, Wine Bars",$$$
Barbusa,4.2,3648,False,$$,San Diego,"Italian, Seafood, Cocktail Bars",$$
Animae,4.4,1465,False,$$$,San Diego,"Asian Fusion, Cocktail Bars",$$$
Del's Hideout,4.3,1178,False,$$,San Diego,"Barbeque, Salad, Burgers",$$
Flor’s Farm to Table,4.6,441,False,$$,San Diego,"New Mexican Cuisine, Breakfast & Brunch, Tacos",$$
The Hangout,4.5,13,False,,San Diego,"Cocktail Bars, Breakfast & Brunch, New American",Unknown
Mike's Red Tacos - Point Loma,4.8,811,False,$$,San Diego,Tacos,$$
Tom Ham's Lighthouse,4.0,3053,False,$$$,San Diego,"Breakfast & Brunch, Seafood, Buffets",$$$
Piedra Santa,4.7,229,False,,San Diego,Steakhouses,Unknown
BoujieMana,4.6,345,False,$$$,San Diego,"Mediterranean, Salad, Pizza",$$$
Hamitbach,4.6,299,False,$$,San Diego,"Mediterranean, Kosher",$$
Flor’s,5.0,4,False,,San Diego,"Mexican, Speakeasies",Unknown
Mike's Red Tacos,4.6,1494,False,$$,San Diego,Tacos,$$
The Prado,3.9,3568,False,$$$,San Diego,"New American, Beer Bar",$$$
Cocina De Barrio,4.8,254,False,,San Diego,"Breakfast & Brunch, Mexican, Cocktail Bars",Unknown
Freddy’s Chophouse,4.8,889,False,,San Diego,"American, Steakhouses, Cocktail Bars",Unknown
Rosemarie’s,4.6,508,False,$$,San Diego,"Sandwiches, Burgers, Cocktail Bars",$$
Pomegranate Russian-Georgian Restaurant,4.4,2240,False,$$,San Diego,"Russian, Georgian",$$
Louisiana Charlie's San Diego,4.4,421,False,$$,San Diego,"Cajun/Creole, Barbeque, Seafood",$$
Bencotto Italian Kitchen,4.1,3533,False,$$,San Diego,"Italian, Bars, Desserts",$$
Villain’s Brewing,4.5,291,False,$$,San Diego,"Brewpubs, American, Cocktail Bars",$$
Romanella Cucina Romana,4.9,133,False,,San Diego,Italian,Unknown
Goi Cuon,4.5,876,False,$$,San Diego,Vietnamese,$$
Fortuna Ristorante Italiano,4.9,188,False,,San Diego,"Italian, Wine Bars",Unknown
La Puerta,4.4,492,False,$$,San Diego,"Mexican, Cocktail Bars",$$
Cafe Coyote,3.8,8323,False,$$,San Diego,"Mexican, Venues & Event Spaces, Cocktail Bars",$$
Costa Brava,4.4,2697,False,$$,San Diego,"Tapas Bars, Spanish, Basque",$$
Tahini,4.6,1396,False,$$,San Diego,"Mediterranean, Middle Eastern, Halal",$$
Herb & Wood,4.1,2177,False,$$$,San Diego,"New American, Seafood, Mediterranean",$$$
Common Stock,4.7,1138,False,$$,San Diego,"New American, Whiskey Bars, Cocktail Bars",$$
Water Grill - San Diego,4.4,3677,False,$$$,San Diego,Seafood,$$$
Quixote,4.0,575,False,$$$,San Diego,Mexican,$$$
Hongyuan Kebab,4.3,149,False,,San Diego,"Asian Fusion, Kebab, Seafood",Unknown
Shan Xi Magic Kitchen,4.2,2250,False,$$,San Diego,"Chinese, Noodles, Seafood",$$
Warung RieRie,4.8,87,False,,San Diego,Indonesian,Unknown
AKA,4.3,381,False,,San Diego,"Asian Fusion, Japanese, Cocktail Bars",Unknown
Buona Forchetta,4.4,3718,False,$$,San Diego,"Pizza, Italian",$$
Puesto at the Headquarters,4.1,5506,False,$$,San Diego,"Mexican, Cocktail Bars",$$
Mission Valley Breakfast Company,4.3,795,False,$$,San Diego,"Breakfast & Brunch, American",$$
Cross Street,4.3,2419,False,$$,San Diego,"Korean, Beer Bar, Chicken Wings",$$
Fort Oak,4.2,705,False,$$$,San Diego,"New American, Desserts, Bars",$$$
The Crack Shack,4.1,5751,False,$$,San Diego,"New American, Sandwiches, Chicken Shop",$$
Dockside 1953,3.9,190,False,$$$,San Diego,"Seafood, Breakfast & Brunch, Cocktail Bars",$$$
Pesto Italian Craft Kitchen,4.5,831,False,$$,San Diego,"Pizza, Italian, Salad",$$
Fish With You,4.8,331,False,$$,San Diego,"Chinese, Seafood, Soup",$$
Theresa’s Italian Steakhouse,3.9,111,False,,San Diego,"American, Steakhouses, Italian",Unknown
Alchemy Choose Thy Poison,4.8,124,False,,San Diego,"Mexican, Seafood, Cocktail Bars",Unknown
Old Town Urban Market,4.3,50,False,$$,San Diego,Food Court,$$
Bhojan Griha,4.6,362,False,$$,San Diego,Himalayan/Nepalese,$$
Mabel's Gone Fishing,4.3,474,False,$$$,San Diego,"Seafood, Tapas/Small Plates, Spanish",$$$
Hatsuzakura,4.4,511,False,$$,San Diego,"Japanese, Desserts, Coffee & Tea",$$
Morning Glory,4.0,4733,False,$$,San Diego,Breakfast & Brunch,$$
So Saap,4.3,684,False,$$,San Diego,"Thai, Laotian, Vegan",$$
Adrian's Surf N' Turf Grill,4.8,809,False,$$,San Diego,"Seafood, Steakhouses, Sandwiches",$$
Wood Ranch Mission Valley,4.0,1346,False,$$,San Diego,"Steakhouses, Barbeque, American",$$
The Red Door,4.4,1732,False,$$,San Diego,"Cocktail Bars, Italian, Modern European",$$
Steamy Piggy Point Loma,4.8,281,False,$$,San Diego,Chinese,$$
Born & Raised,4.1,3268,False,$$$$,San Diego,"Steakhouses, Beer, Wine & Spirits, Cocktail Bars",$$$$
Blue Water,4.2,4450,False,$$,San Diego,"Seafood, Seafood Markets",$$
North Italia,3.9,1390,False,$$,San Diego,"Italian, Pizza, Cocktail Bars",$$
Bud's Louisiana Cafe,4.4,2942,False,$$,San Diego,"Cajun/Creole, Cafes, Sandwiches",$$
Bosforo,4.5,181,False,,San Diego,"Turkish, Cocktail Bars",Unknown
Soup Du Jour,4.7,434,False,$$,San Diego,"Soup, Asian Fusion, Comfort Food",$$
Xinjiang  BBQ,4.7,473,False,$$,San Diego,"Asian Fusion, Barbeque, Chinese",$$
Tanuki,4.4,510,False,$$,San Diego,"Sushi Bars, Izakaya, Tapas/Small Plates",$$
Puesto Mission Valley,4.0,1455,False,$$,San Diego,"Mexican, Bars, Venues & Event Spaces",$$
Tabu Shabu - North Park,4.6,674,False,$$,San Diego,"Japanese, Hot Pot",$$
Himalayan Spice & Savor,4.7,56,False,,San Diego,"Indian, Himalayan/Nepalese",Unknown
True Food Kitchen,4.2,3260,False,$$,San Diego,"New American, Breakfast & Brunch, Comfort Food",$$
Elote,4.3,114,False,$,San Diego,"Mexican, Vegetarian",$
Siamo Napoli,4.7,1972,False,$$$,San Diego,"Italian, Vegan, Pizza",$$$
Wormwood,4.3,447,False,$$,San Diego,"French, Cocktail Bars, Breakfast & Brunch",$$
Blue Water Seafood Market & Grill - Ocean Beach,4.3,702,False,$$,San Diego,"Seafood, Seafood Markets",$$
Vulture,4.1,79,False,,San Diego,Restaurants,Unknown
Brigantine - Portside Pier,3.9,2060,False,$$$,San Diego,"Seafood, Tapas/Small Plates, Bars",$$$
Pho Nom,4.6,635,False,$$,San Diego,"Vietnamese, Noodles, Coffee & Tea",$$
Bopomofo Cafe,4.3,389,False,$$,San Diego,"Sandwiches, Cafes, Bubble Tea",$$
Chin's Szechwan - Point Loma,4.4,146,False,,San Diego,"Chinese, Noodles, Soup",Unknown
Lazy Dog Restaurant & Bar,4.0,3035,False,$$,San Diego,"Burgers, Comfort Food, New American",$$
Sally's,3.9,1395,False,$$$,San Diego,"Seafood, American, Bars",$$$
Bonehead Burger Co,4.4,246,False,$$,San Diego,"Burgers, Fast Food",$$
Shank & Bone,4.3,996,False,$$,San Diego,"Vietnamese, Bars",$$
Ketch Grill & Taps,4.1,997,False,$$,San Diego,"Salad, Cocktail Bars, Sandwiches",$$
El Agave Restaurant & Tequileria,3.9,1119,False,$$,San Diego,"Mexican, Bars",$$
Piacere Mio - South Park,4.5,2206,False,$$,San Diego,"Italian, Wine Bars, Seafood",$$
Galpão Gaucho Brazilian Steakhouse,4.7,834,False,$$$$,San Diego,"Brazilian, Steakhouses",$$$$
King's Fish House - Mission Valley,3.9,1650,False,$$,San Diego,Seafood,$$
Witherby,4.8,40,False,,San Diego,"New American, Cocktail Bars, Tapas/Small Plates",Unknown
Choi's,4.7,554,False,$$$,San Diego,"Korean, Cocktail Bars, Asian Fusion",$$$
Communion,4.0,199,False,,San Diego,"Desserts, Seafood, Cocktail Bars",Unknown
BHATTI HIMALAYAN GRILL Indian Cuisine,4.5,100,False,$$,San Diego,"Indian, Himalayan/Nepalese, Buffets",$$
Taste Of Denmark,4.9,217,False,,San Diego,"Scandinavian, Comfort Food, Sandwiches",Unknown
Vincenzo Cucina And Lounge,4.1,1152,False,$$,San Diego,"Italian, Breakfast & Brunch, Lounges",$$
Brazil By The Bay,3.9,405,False,$$,San Diego,"Brazilian, Sports Bars, American",$$
California Burritos,4.3,1353,False,$$,San Diego,"Mexican, Breakfast & Brunch, Burgers",$$
Flora,4.6,308,False,,San Diego,Breakfast & Brunch,Unknown
Shrimp Heads,4.5,1602,False,$$,San Diego,"Cajun/Creole, Seafood",$$
Tasty Noodle House,3.9,1685,False,$$,San Diego,"Chinese, Noodles, Soup",$$
ZGARA Greek Grill,4.6,247,False,$$,San Diego,Greek,$$
Hideaway,4.3,443,False,$$,San Diego,"American, Cocktail Bars",$$
Origen,4.4,143,False,,San Diego,New Mexican Cuisine,Unknown
Louisiana Purchase,4.1,1692,False,$$$,San Diego,"Cocktail Bars, Cajun/Creole, Seafood",$$$
ME SEN Thai Noodle Shop,4.5,124,False,$$,San Diego,"Thai, Noodles, Chicken Shop",$$
Werewolf,4.5,5880,False,$$,San Diego,"Breakfast & Brunch, Karaoke, Cocktail Bars",$$
Postino Little Italy,4.7,303,False,$$,San Diego,"Wine Bars, Cocktail Bars, New American",$$
Panama 66,3.7,876,False,$$,San Diego,"Cocktail Bars, New American, Sandwiches",$$
So Good Thai Cuisine,4.8,86,False,,San Diego,"Thai, Noodles, Vegetarian",Unknown
Key & Cleaver,4.8,233,False,$$,San Diego,"Burgers, Beer Bar, Cocktail Bars",$$
Brisa Restaurant & Bar,4.5,243,False,$$$,San Diego,"Bars, Sushi Bars, Live/Raw Food",$$$
Bronze Bird,4.4,110,False,$$,San Diego,"Beer, Wine & Spirits, New American, Venues & Event Spaces",$$
Burgeon at the Arbor,4.6,230,False,$$,San Diego,"Beer Bar, New American",$$
Lobster West,4.5,425,False,$$,San Diego,Seafood,$$
Hi Dumplings,4.3,292,False,$$,San Diego,"Noodles, Chinese, Salad",$$
Pete's Seafood and Sandwich,4.5,1851,False,$$,San Diego,"Cafes, Seafood, Sandwiches",$$
Nonna,4.1,1002,False,$$,San Diego,"Pizza, Italian",$$
Dunedin New Zealand Eats,4.2,1231,False,$$,San Diego,"Burgers, American",$$
100s Seafood Grill Buffet,3.9,1995,False,$$$,San Diego,"Buffets, Seafood, Desserts",$$$
Eddie V's Prime Seafood,4.5,2010,False,$$$,San Diego,"Seafood, Steakhouses, Lounges",$$$
Rare Society,4.2,624,False,$$$$,San Diego,Steakhouses,$$$$
Between Us,4.4,119,False,$$,San Diego,"Breakfast & Brunch, Tapas/Small Plates, Coffee & Tea",$$
Ming Oun’s Kitchen,5.0,9,False,,San Diego,"Filipino, Cambodian",Unknown
Kindred,4.4,1897,False,$$,San Diego,"Cocktail Bars, Vegan, American",$$
Halal Shiban,5.0,2,False,,San Diego,"Halal, Food Delivery Services, African",Unknown
Roman Wolves,4.5,611,False,$$$,San Diego,"Italian, Bars",$$$
Farm To Smash,4.1,74,False,$$,San Diego,Burgers,$$
Seneca,3.8,1617,False,$$$,San Diego,Italian,$$$
Cori Pastificio Trattoria,4.5,618,False,$$$,San Diego,"Italian, Wine Bars",$$$
Smokin J's BBQ & Taphouse,4.4,268,False,$$,San Diego,"Barbeque, Beer Bar, Cocktail Bars",$$
Chris' Ono Grinds Island Grill,4.3,1139,False,$$,San Diego,Hawaiian,$$
Mimoza Mediterranean Restaurant,4.6,360,False,$$,San Diego,Mediterranean,$$
Mikiya Wagyu Shabu House,0.0,0,False,,San Diego,"Hot Pot, Seafood, Japanese",Unknown
Komatsuya,4.4,72,False,$$$$,San Diego,"Japanese, Wine Bars",$$$$
Zytoun Gourmet Mediterranean,4.4,128,False,,San Diego,"Mediterranean, Greek",Unknown
Moobongri,4.5,29,False,,San Diego,"Korean, Barbeque, Soup",Unknown
Nico's Fish Market,4.7,158,False,,San Diego,Restaurants,Unknown
Lou & Mickey's,4.3,2915,False,$$$,San Diego,Steakhouses,$$$
Facing East Noodle & Bar,4.1,1824,False,$$,San Diego,"Asian Fusion, Noodles, Ramen",$$
RustiCucina,4.6,1447,False,$$,San Diego,"Italian, Cocktail Bars",$$
Pretzels & Pints,4.6,551,False,$$,San Diego,"Pretzels, Sandwiches, Pubs",$$
Coco Maya,4.0,925,False,$$,San Diego,"Caribbean, Cocktail Bars, Breakfast & Brunch",$$
Pueblo,3.9,1510,False,$$,San Diego,"Seafood, Mexican, Cocktail Bars",$$
Bock South Park,4.4,50,False,$$,San Diego,"Beer Bar, Wine Bars, German",$$
Tid Din,4.4,8,False,,San Diego,Thai,Unknown
EE NAMI Tonkatsu Izakaya,4.5,659,False,$$,San Diego,"Izakaya, Seafood, Cocktail Bars",$$
Yard House,4.0,1344,False,$$,San Diego,"Vegetarian, Bars, New American",$$
Cucina Basilico,4.5,888,False,$$,San Diego,Italian,$$
Lanna Thai Cuisine,4.3,1209,False,$$,San Diego,"Thai, Seafood, Asian Fusion",$$
Mitch's Seafood,4.2,2832,False,$$,San Diego,"Seafood, Beer Bar, Southern",$$
Cocina de Barrio,4.5,1152,False,$$,San Diego,"New Mexican Cuisine, Cocktail Bars, Breakfast & Brunch",$$
Callie,4.3,901,False,$$$,San Diego,Mediterranean,$$$
Saint James French Diner,4.2,293,False,$$,San Diego,"French, Bars, Diners",$$
Gihon,4.9,36,False,,San Diego,Ethiopian,Unknown
Wa Dining OKAN,4.3,1497,False,$$,San Diego,Japanese,$$
Working Class,4.4,939,False,$$,San Diego,"Breakfast & Brunch, Beer Bar, American",$$
Botanica,4.5,280,False,$$,San Diego,"Cocktail Bars, Tapas/Small Plates",$$
Zoya,4.8,103,False,,San Diego,"Mediterranean, Cocktail Bars, Pizza",Unknown
Rakiraki Ramen & Tsukemen,3.8,5078,False,$$,San Diego,"Ramen, Sushi Bars",$$
Mama G’s Kitchen & Sauce,4.7,134,False,$$,San Diego,"Peruvian, Seafood, American",$$
Bay Park Fish Company,4.0,1407,False,$$,San Diego,"Seafood, Bars, Sushi Bars",$$
Vin de Syrah,4.3,1863,False,$$,San Diego,"New American, Wine Bars",$$
The Wise Ox Butcher & Eatery,4.4,369,False,$$,San Diego,"Sandwiches, Meat Shops, Butcher",$$
Cafe Sevilla,4.0,4701,False,$$,San Diego,"Spanish, Tapas/Small Plates, Music Venues",$$
Barra Barra Saloon,3.6,1729,False,$$,San Diego,"Mexican, Cocktail Bars",$$
