name,rating,review_count,is_closed,price,city,categories,price_clean
ME SEN Thai Noodle Shop,4.5,124,False,$$,San Diego,"Thai, Noodles, Chicken Shop",$$
Origen,4.4,143,False,,San Diego,New Mexican Cuisine,Unknown
Werewolf,4.5,5880,False,$$,San Diego,"Breakfast & Brunch, Karaoke, Cocktail Bars",$$
Key & Cleaver,4.8,233,False,$$,San Diego,"Burgers, Beer Bar, Cocktail Bars",$$
Postino Little Italy,4.7,303,False,$$,San Diego,"Wine Bars, Cocktail Bars, New American",$$
The Smoking Goat,4.1,1900,False,$$$,San Diego,"French, New American, Bars",$$$
Parma Cucina Italiana,4.6,1298,False,$$,San Diego,"Italian, Seafood, Wine Bars",$$
Farmer's Bottega Restaurant,4.2,1634,False,$$,San Diego,"New American, Breakfast & Brunch, Italian",$$
Fortunate Son,3.8,1386,False,$$,San Diego,"Chinese, Noodles",$$
Nonna,4.1,1002,False,$$,San Diego,"Pizza, Italian",$$
Hi Dumplings,4.3,292,False,$$,San Diego,"Noodles, Chinese, Salad",$$
Burgeon at the Arbor,4.6,230,False,$$,San Diego,"Beer Bar, New American",$$
Bronze Bird,4.4,110,False,$$,San Diego,"Beer, Wine & Spirits, New American, Venues & Event Spaces",$$
Halal Shiban,5.0,2,False,,San Diego,"Halal, Food Delivery Services, African",Unknown
Seneca,3.8,1618,False,$$$,San Diego,Italian,$$$
Dunedin New Zealand Eats,4.2,1232,False,$$,San Diego,"Burgers, American",$$
Yakitori Tsuta,4.7,33,False,,San Diego,Japanese,Unknown
Yard House,4.0,1344,False,$$,San Diego,"Vegetarian, Bars, New American",$$
Ming Oun’s Kitchen,5.0,9,False,,San Diego,"Filipino, Cambodian",Unknown
Yokohama Yakitori Koubou,3.8,920,False,$$,San Diego,Japanese,$$
Elvira,4.5,337,False,$$$,San Diego,"Italian, Pizza, Coffee & Tea",$$$
Pete's Seafood and Sandwich,4.5,1851,False,$$,San Diego,"Cafes, Seafood, Sandwiches",$$
Mimoza Mediterranean Restaurant,4.6,361,False,$$,San Diego,Mediterranean,$$
Lobster West,4.5,425,False,$$,San Diego,Seafood,$$
Alexanders on 30th,4.0,1638,False,$$,San Diego,"Italian, Pizza, Pasta Shops",$$
Lala,4.2,133,False,,San Diego,"Bars, Italian",Unknown
Smokin J's BBQ & Taphouse,4.4,268,False,$$,San Diego,"Barbeque, Beer Bar, Cocktail Bars",$$
Moobongri,4.5,29,False,,San Diego,"Korean, Barbeque, Soup",Unknown
Farm To Smash,4.1,74,False,$$,San Diego,Burgers,$$
Mikiya Wagyu Shabu House,0.0,0,False,,San Diego,"Hot Pot, Seafood, Japanese",Unknown
Molly's,4.3,147,False,$$,San Diego,"Breakfast & Brunch, Cocktail Bars, Cafes",$$
Zytoun Gourmet Mediterranean,4.4,128,False,,San Diego,"Mediterranean, Greek",Unknown
Monkeybar,4.3,85,False,$$,San Diego,"Cocktail Bars, Tapas/Small Plates, Pizza",$$
Marisi,4.1,791,False,$$$,San Diego,"Italian, Wine Bars, Cocktail Bars",$$$
Rakiraki Ramen & Tsukemen,3.8,5079,False,$$,San Diego,"Ramen, Sushi Bars",$$
Facing East Noodle & Bar,4.1,1824,False,$$,San Diego,"Asian Fusion, Noodles, Ramen",$$
Chris' Ono Grinds Island Grill,4.3,1139,False,$$,San Diego,Hawaiian,$$
Lou & Mickey's,4.3,2916,False,$$$,San Diego,Steakhouses,$$$
Cucina Basilico,4.5,888,False,$$,San Diego,Italian,$$
Nico's Fish Market,4.7,158,False,,San Diego,Restaurants,Unknown
Civico 1845,4.3,3428,False,$$$,San Diego,"Italian, Vegan, Cocktail Bars",$$$
Trattoria Da Sofia,4.5,347,False,,San Diego,"Italian, Bars",Unknown
EE NAMI Tonkatsu Izakaya,4.5,659,False,$$,San Diego,"Izakaya, Seafood, Cocktail Bars",$$
Tid Din,4.4,8,False,,San Diego,Thai,Unknown
Harbor & Sky Rooftop Bar and Lounge,4.0,126,False,$$,San Diego,"Lounges, New American",$$
Gihon,4.9,36,False,,San Diego,Ethiopian,Unknown
